,obsid,fitsname,snrg,snrr,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_obs,dec_obs,gaia_source_id,gaia_g_mean_mag,figname,R_mean,R_mean_err,V_mean,V_mean_err,H_mean_tri,H_mean_tri_err,K_mean_tri,K_mean_tri_err,S_tri,S_tri_err,S_MWL,S_MWL_err,H_mean_rec,H_mean_rec_err,K_mean_rec,K_mean_rec_err,S_rec,S_rec_err,condition_tag
1090,1216184,spec-55863-B6301_sp16-184.fits,63.35,85.12,6019.89,32.97,4.252,0.047,0.159,0.028,-10.18,4.4,338.897402,32.311996,1.9011944564257405e+18,14.40011,CaIIHK_obsid-001216184_spec-55863-B6301_sp16-184.png,721.113297,5.074175,584.436618,6.164192,169.339417,14.530037,155.270528,16.460908,0.248638,0.016886,0.195131,0.013252,165.475111,18.546917,151.276356,21.046833,0.242619,0.021538, 
1091,1216185,spec-55863-B6301_sp16-185.fits,52.45,82.7,5490.48,31.67,4.334,0.045,0.32,0.027,-16.41,4.27,338.813647,32.520798,1.9012095059911194e+18,14.669102,CaIIHK_obsid-001216185_spec-55863-B6301_sp16-185.png,418.24783,4.279488,271.898059,5.196309,93.835832,13.261871,83.26761,15.701213,0.256617,0.029885,0.201393,0.023454,93.426119,16.921596,85.256336,20.078759,0.258905,0.038131, 
1092,1216192,spec-55863-B6301_sp16-192.fits,92.56,131.37,5784.39,30.38,4.237,0.042,-0.147,0.025,3.56,4.24,338.781872,32.283428,1.9011934943529426e+18,13.984931,CaIIHK_obsid-001216192_spec-55863-B6301_sp16-192.png,1301.704321,6.036423,1027.116564,6.880299,340.854058,15.380833,278.407804,17.336552,0.265912,0.010007,0.208688,0.007853,337.012922,19.606302,275.605154,22.140497,0.263059,0.012741, 
1093,1216208,spec-55863-B6301_sp16-208.fits,50.8,71.81,5937.55,34.13,4.051,0.049,-0.972,0.03,-123.62,4.62,338.254004,32.601852,1.9013931931523843e+18,14.935967,CaIIHK_obsid-001216208_spec-55863-B6301_sp16-208.png,639.33287,5.505458,560.338991,6.806542,215.757413,17.212611,161.133848,17.964787,0.314162,0.020865,0.246554,0.016375,216.832158,22.000935,161.565075,22.960838,0.315417,0.026607, 
1094,1216209,spec-55863-B6301_sp16-209.fits,55.73,84.35,5850.63,29.13,4.105,0.042,-0.091,0.025,-38.69,3.91,338.452337,32.428604,1.9013757040455828e+18,14.367049,CaIIHK_obsid-001216209_spec-55863-B6301_sp16-209.png,642.168053,5.425866,506.939283,6.643855,172.113574,17.291221,148.143935,17.863047,0.278701,0.021735,0.218725,0.017058,173.923051,22.142183,147.752953,22.817416,0.279936,0.027748, 
1095,1216217,spec-55863-B6301_sp16-217.fits,50.01,89.89,4811.23,34.73,4.666,0.05,0.079,0.03,-24.3,4.7,338.31673,32.428623,1.9013774907519718e+18,14.50569,CaIIHK_obsid-001216217_spec-55863-B6301_sp16-217.png,345.554191,4.740958,188.914801,5.644315,89.517334,15.431208,60.243724,17.161026,0.280205,0.043353,0.219905,0.034023,88.823413,19.747816,60.673959,21.955911,0.279712,0.055386, 
1096,1216221,spec-55863-B6301_sp16-221.fits,53.12,76.98,6010.43,30.32,4.408,0.043,-0.189,0.026,-19.78,4.08,338.389204,32.580421,1.9013807205673667e+18,14.767084,CaIIHK_obsid-001216221_spec-55863-B6301_sp16-221.png,639.434381,5.650198,524.99478,7.001201,176.313329,17.244709,153.332557,18.953612,0.283097,0.022115,0.222174,0.017356,174.969976,22.043268,150.997176,24.2148,0.279937,0.028204, 
1097,1216226,spec-55863-B6301_sp16-226.fits,54.64,77.84,6129.19,32.07,4.274,0.046,-0.122,0.028,-34.54,4.31,339.082126,32.952465,1.901319354074222e+18,14.466,CaIIHK_obsid-001216226_spec-55863-B6301_sp16-226.png,818.600471,6.553445,691.848222,7.869127,229.56843,19.791205,195.406082,21.379617,0.281356,0.019382,0.220809,0.015211,228.947605,25.3119,191.020756,27.319297,0.278042,0.024729, 
1098,1216232,spec-55863-B6301_sp16-232.fits,91.72,132.39,5965.64,28.15,4.168,0.039,0.05,0.023,-57.11,3.91,339.383172,33.205669,1.9013535763738524e+18,13.596317,CaIIHK_obsid-001216232_spec-55863-B6301_sp16-232.png,1632.295358,7.555316,1293.722846,8.499263,382.137849,21.003345,332.816053,20.36632,0.244344,0.010044,0.191761,0.007882,378.956529,26.629637,328.684362,26.033881,0.241844,0.012762, 
1099,1216240,spec-55863-B6301_sp16-240.fits,109.09,140.67,6658.9,26.68,4.112,0.037,-0.189,0.021,12.27,3.94,339.103706,33.128826,1.901514895345023e+18,13.103622,CaIIHK_obsid-001216240_spec-55863-B6301_sp16-240.png,3039.643741,9.921124,2606.148488,11.162951,823.727279,24.097516,804.923391,25.698719,0.288472,0.006286,0.226393,0.004934,807.834859,30.735081,794.15619,32.789707,0.28375,0.007996, 
1100,1216249,spec-55863-B6301_sp16-249.fits,52.74,72.76,6022.12,33.3,4.14,0.048,-0.467,0.029,-39.91,4.49,339.218201,32.952988,1.9013244736753477e+18,14.692069,CaIIHK_obsid-001216249_spec-55863-B6301_sp16-249.png,710.064634,5.830553,604.540223,7.034922,168.709362,17.340518,138.007213,18.611752,0.233315,0.019418,0.183105,0.015239,166.93237,22.17142,135.123551,23.755362,0.229769,0.02477, 
1101,1301048,spec-55863-B6302_sp01-048.fits,57.62,109.72,5756.74,34.73,3.973,0.049,0.18,0.03,-10.41,4.65,356.938562,26.925753,2.853017620772676e+18,13.193565,CaIIHK_obsid-001301048_spec-55863-B6302_sp01-048.png,1230.390555,10.611694,934.176445,12.51431,243.805484,31.559013,182.51835,33.441913,0.196956,0.021295,0.154571,0.016713,236.436722,40.361984,176.729951,42.753502,0.190877,0.027201, 
