,indice_i,indice_j,sln_1,sln_2
589,9,149,,
590,9,151,,
591,9,152,,
592,9,153,,
593,9,165,,
594,9,177,,
595,9,178,,
596,9,179,,
597,9,180,,
598,9,188,,
599,9,189,,
600,9,190,,
601,9,193,,
602,9,194,,
603,9,195,,
604,9,202,,
605,9,203,,
606,9,204,,
607,10,25,,
608,10,26,,
609,10,27,,
610,10,34,,
611,10,36,,
612,10,38,,
613,10,40,,
614,10,43,,
615,10,44,,
616,10,45,,
617,10,46,,
618,10,68,,
619,10,78,,
620,10,87,,
621,10,93,,
622,10,102,,
623,10,117,,
624,10,126,,
625,10,127,,
626,10,135,,
627,10,149,,
628,10,151,,
629,10,152,,
630,10,161,,
631,10,165,,
632,10,186,,
633,10,187,,
634,10,188,,
635,10,189,,
636,10,191,,
637,10,192,,
638,10,194,,
639,10,201,,
640,10,202,,
641,10,203,,
642,10,204,,
643,11,3,,
644,11,4,,
645,11,7,,
646,11,25,,
647,11,26,,
648,11,28,,
649,11,37,,
650,11,38,,
651,11,41,,
652,11,44,,
653,11,45,,
654,11,46,,
655,11,72,,
656,11,86,,
657,11,87,,
658,11,92,,
659,11,93,,
660,11,94,,
661,11,99,,
662,11,100,,
663,11,101,,
664,11,125,,
665,11,126,,
666,11,127,,
667,11,139,,
668,11,140,,
669,11,144,,
670,11,151,,
671,11,152,,
672,11,153,,
673,11,170,,
674,11,173,,
675,11,174,,
676,11,176,,
677,11,177,,
678,11,178,,
679,11,179,,
680,11,185,,
681,11,186,,
682,11,187,,
683,11,188,,
684,11,189,,
685,11,191,,
686,11,192,,
687,11,193,,
688,11,194,,
689,11,195,,
690,11,198,,
691,11,202,,
692,11,203,,
693,11,204,,
694,12,4,,
695,12,17,,
696,12,18,,
697,12,25,,
698,12,35,,
699,12,36,,
700,12,40,,
701,12,41,,
702,12,42,,
703,12,44,,
704,12,45,,
705,12,46,,
706,12,53,,
707,12,63,,
708,12,64,,
709,12,65,,
710,12,71,,
711,12,72,,
712,12,73,,
713,12,74,,
714,12,83,,
715,12,84,,
716,12,85,,
717,12,94,,
718,12,95,,
719,12,98,,
720,12,99,,
721,12,102,,
722,12,115,,
723,12,125,,
724,12,126,,
725,12,127,,
726,12,132,,
727,12,135,,
728,12,138,,
729,12,139,,
730,12,140,,
731,12,141,,
732,12,143,,
733,12,144,,
734,12,150,,
735,12,151,,
736,12,172,,
737,12,173,,
738,12,174,,
739,12,175,,
740,12,176,,
741,12,177,,
742,12,178,,
743,12,179,,
744,12,187,,
745,12,188,,
746,12,192,,
747,12,193,,
748,12,194,,
749,12,195,,
750,12,197,,
751,12,202,,
752,12,203,,
753,12,204,,
754,13,2,,
755,13,3,,
756,13,4,,
757,13,12,,
758,13,13,,
759,13,24,,
760,13,25,,
761,13,26,,
762,13,27,,
763,13,29,,
764,13,36,,
765,13,37,,
766,13,38,,
767,13,45,,
768,13,46,,
769,13,48,,
770,13,52,,
771,13,56,,
772,13,57,,
773,13,62,,
774,13,63,,
775,13,66,,
776,13,69,,
777,13,71,,
778,13,72,,
